,latestPrice,zipcode,Count_Crimes
1344,315000.0,78717,3553.0
1345,382000.0,78724,6658.0
1346,760000.0,78733,23.0
1347,509000.0,78737,63.0
1348,335000.0,78717,3553.0
1349,364979.0,78724,6658.0
1350,175000.0,78725,624.0
1351,500000.0,78726,2580.0
1352,345000.0,78717,3553.0
1353,250000.0,78617,3417.0
1354,110800.0,78725,624.0
1355,215000.0,78724,6658.0
1356,450000.0,78737,63.0
1357,1999000.0,78735,3378.0
1358,649900.0,78730,1028.0
1359,429999.0,78726,2580.0
1360,6200000.0,78732,70.0
1361,199990.0,78617,3417.0
1362,645000.0,78717,3553.0
1363,182000.0,78724,6658.0
1364,365000.0,78750,5435.0
1365,789900.0,78730,1028.0
1366,235000.0,78724,6658.0
1367,690000.0,78732,70.0
1368,399000.0,78750,5435.0
1369,529900.0,78733,23.0
1370,362500.0,78717,3553.0
1371,345000.0,78724,6658.0
1372,125595.0,78725,624.0
1373,315900.0,78730,1028.0
1374,569000.0,78733,23.0
1375,415000.0,78724,6658.0
1376,1799000.0,78733,23.0
1377,228000.0,78617,3417.0
1378,81000.0,78725,624.0
1379,775000.0,78732,70.0
1380,439900.0,78724,6658.0
1381,350000.0,78717,3553.0
1382,725000.0,78750,5435.0
1383,464800.0,78733,23.0
1384,202500.0,78724,6658.0
1385,650000.0,78732,70.0
1386,644900.0,78737,63.0
1387,616900.0,78717,3553.0
1388,179900.0,78617,3417.0
1389,580000.0,78730,1028.0
1390,839000.0,78732,70.0
1391,799000.0,78733,23.0
1392,450000.0,78726,2580.0
1393,214990.0,78617,3417.0
1394,224900.0,78724,6658.0
1395,375000.0,78732,70.0
1396,414000.0,78733,23.0
1397,1290000.0,78730,1028.0
1398,77500.0,78617,3417.0
1399,12720000.0,78733,23.0
1400,699900.0,78717,3553.0
1401,2000000.0,78733,23.0
1402,925000.0,78750,5435.0
1403,215000.0,78617,3417.0
1404,1695000.0,78746,5230.0
1405,205000.0,78733,23.0
1406,599900.0,78717,3553.0
1407,550000.0,78726,2580.0
1408,640000.0,78750,5435.0
1409,1850000.0,78733,23.0
1410,339000.0,78737,63.0
1411,640000.0,78750,5435.0
1412,450000.0,78733,23.0
1413,1100000.0,78746,5230.0
1414,360000.0,78717,3553.0
1415,509900.0,78737,63.0
1416,435000.0,78750,5435.0
1417,3395000.0,78746,5230.0
1418,259900.0,78730,1028.0
1419,717500.0,78733,23.0
1420,455000.0,78737,63.0
1421,328000.0,78717,3553.0
1422,800000.0,78750,5435.0
1423,685000.0,78732,70.0
1424,2950000.0,78746,5230.0
1425,459900.0,78730,1028.0
1426,814999.0,78733,23.0
1427,515000.0,78732,70.0
1428,600000.0,78733,23.0
1429,900000.0,78730,1028.0
1430,1199000.0,78730,1028.0
1431,475000.0,78737,63.0
1432,520000.0,78750,5435.0
1433,699990.0,78732,70.0
1434,495000.0,78733,23.0
1435,575000.0,78737,63.0
1436,2475000.0,78746,5230.0
1437,499999.0,78726,2580.0
1438,625000.0,78732,70.0
1439,599900.0,78730,1028.0
1440,1250000.0,78746,5230.0
1441,1115000.0,78733,23.0
1442,525000.0,78737,63.0
1443,729900.0,78759,13881.0
1444,729500.0,78732,70.0
1445,1397000.0,78746,5230.0
1446,432900.0,78750,5435.0
1447,925000.0,78732,70.0
1448,1975000.0,78730,1028.0
1449,435000.0,78733,23.0
1450,767500.0,78732,70.0
1451,631000.0,78737,63.0
1452,885000.0,78750,5435.0
1453,498500.0,78717,3553.0
1454,369900.0,78726,2580.0
1455,789000.0,78746,5230.0
1456,550000.0,78733,23.0
1457,680000.0,78732,70.0
1458,595000.0,78750,5435.0
1459,714900.0,78750,5435.0
1460,850000.0,78746,5230.0
1461,739900.0,78730,1028.0
1462,160000.0,78730,1028.0
1463,390000.0,78737,63.0
